customer_id,gender,senior_citizen,partner,dependents,tenure,contract,paperless_billing,payment_method,monthly_charges,total_charges,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,churn,tenure_group,total_services,avg_monthly_spend_ratio,high_risk_flag,payment_risk_flag,contract_ordinal
7590-VHVEG,Female,False,True,False,1,Month-to-month,True,Electronic check,29.85,29.85,No,No phone service,DSL,No,Yes,No,No,No,No,False,0-12,1,29.85,1,1,0
5575-GNVDE,Male,False,False,False,34,One year,False,Mailed check,56.95,1889.5,Yes,No,DSL,Yes,No,Yes,No,No,No,False,25-48,2,55.57,0,1,1
3668-QPYBK,Male,False,False,False,2,Month-to-month,True,Mailed check,53.85,108.15,Yes,No,DSL,Yes,Yes,No,No,No,No,True,0-12,2,54.08,1,1,0
7795-CFOCW,Male,False,False,False,45,One year,False,Bank transfer (automatic),42.3,1840.75,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,False,25-48,3,40.91,0,0,1
9237-HQITU,Female,False,False,False,2,Month-to-month,True,Electronic check,70.7,151.65,Yes,No,Fiber optic,No,No,No,No,No,No,True,0-12,0,75.82,1,1,0
9305-CDSKC,Female,False,False,False,8,Month-to-month,True,Electronic check,99.65,820.5,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,True,0-12,3,102.56,0,1,0
1452-KIOVK,Male,False,False,True,22,Month-to-month,True,Credit card (automatic),89.1,1949.4,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,False,13-24,2,88.61,0,0,0
6713-OKOMC,Female,False,False,False,10,Month-to-month,False,Mailed check,29.75,301.9,No,No phone service,DSL,Yes,No,No,No,No,No,False,0-12,1,30.19,0,1,0
7892-POOKP,Female,False,True,False,28,Month-to-month,True,Electronic check,104.8,3046.05,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,True,25-48,4,108.79,0,1,0
6388-TABGU,Male,False,False,True,62,One year,False,Bank transfer (automatic),56.15,3487.95,Yes,No,DSL,Yes,Yes,No,No,No,No,False,49+,2,56.26,0,0,1
9763-GRSKD,Male,False,True,True,13,Month-to-month,True,Mailed check,49.95,587.45,Yes,No,DSL,Yes,No,No,No,No,No,False,13-24,1,45.19,0,1,0
7469-LKBCI,Male,False,False,False,16,Two year,False,Credit card (automatic),18.95,326.8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,13-24,0,20.42,0,0,2
